wkt_geom	id	T_00to10	T_78to14	P_78to14	P_00to10
Point (-86.14168922262942374 39.2158164238647089)	1784	-0.03937	0.03836	3.66194	3.358
Point (-91.39238058522892061 32.37944812962000896)	1791	-0.00764	0.03457	6.38525	-3.89579
Point (-81.56128528560955715 35.65933792496912247)	1790	-0.00875	0.01387	-1.11524	15.658
Point (-85.96951331902610605 37.4706411411388558)	1789	-0.06137	0.02013	-0.67615	15.552
Point (-105.23096185316418882 38.88987742700304295)	1788	-0.03981	0.02288	2.17918	-2.628
Point (-84.24022285512896246 39.6894885795875183)	1763	-0.03351	0.03773	2.09311	5.0386
Point (-98.05550055480355809 36.64061431386114265)	1762	-0.02482	0.00735	0.08496	-16.6054
Point (-104.64906132328503929 34.82169883189334314)	1761	0.04344	0.01818	2.63013	-7.206
Point (-77.18402487770967468 39.34565266207599166)	1760	-0.00175	0.02226	0.86299	12.8186
Point (-107.03859436283526918 37.65112794032857835)	1767	0.0102	0.05001	-0.25189	-3.4394
Point (-119.23522226589750517 38.02362984372035726)	1766	0.03487	0.08321	-3.42917	7.2786
Point (-81.99434657205642907 39.966649543850302)	1765	0.00502	0.03826	-1.13094	8.6824
Point (-94.22770279882314526 32.40641935345284708)	1764	0.01634	0.02721	6.03518	-18.42679
Point (-99.2445059219878658 47.12604858007228614)	1771	-0.10596	0.02324	1.89955	3.1978
Point (-118.12202083094001637 46.77274429048795668)	1770	-0.04337	0.03104	0.74046	5.8982
Point (-117.27522044769905563 44.85774889386775044)	1769	-0.01468	0.0413	-1.16813	3.5986
Point (-101.33996307210516363 33.04365220601081177)	1768	0.00459	0.02926	1.4768	3.4402
Point (-107.75591390920510548 32.04487972670206375)	1775	-0.02431	0.02264	-0.64218	-1.5476
Point (-78.73061855498934847 40.17412740421710282)	1774	-0.02863	0.02476	-0.80769	22.1338
Point (-101.21434801584096874 38.05843306744753818)	1773	0.00019	0.03288	-0.4215	-1.2922
Point (-89.74806293672634183 43.61546498663344096)	1772	-0.07101	0.02593	5.49527	1.7788
Point (-117.57836641322143123 44.78013353209439629)	1747	-0.05311	0.01503	0.01649	4.4076
Point (-112.57117024194103294 45.77812742312124072)	1746	0.01955	0.04458	-1.53689	6.9068
Point (-77.70250608730405872 43.26020231334804578)	1745	-0.02371	0.03453	0.55011	21.36361
Point (-117.14968759589478964 40.58974347874377031)	1744	0.00426	0.03077	-0.4036	-0.8312
Point (-115.51092647941591451 40.44770243758224382)	1751	0.01395	0.02491	-1.05496	3.8102
Point (-116.34614279165381845 36.92405758269232052)	1750	0.0185	0.04821	-2.96482	-2.5528
Point (-89.74774564675638544 34.34594607256340026)	1749	-0.02964	0.02643	1.5782	-6.709
Point (-79.99669680120705095 37.4880519179381011)	1748	0.00017	0.01823	2.06391	6.5436
Point (-112.86125787834042455 39.40091661557627845)	1755	-0.05074	0.02069	-0.83567	-0.7562
Point (-110.28303462224751286 32.88076440596220351)	1754	0.01414	0.03326	-2.98302	2.6764
Point (-88.13750750164697934 39.84736604444938735)	1753	-0.04859	0.0212	2.00067	9.9738
Point (-99.32631530609769754 29.09395757136492833)	1752	-0.00661	0.02479	0.22011	-18.6916
Point (-123.240340591647211 44.12898181958323107)	1759	-0.02361	0.02397	2.34106	-4.5356
Point (-77.90918369086415396 42.52390288876321733)	1758	0.0041	0.03543	-1.66205	10.9878
Point (-94.7219784310755557 31.80437410679330767)	1757	-0.02221	0.02449	9.06165	-22.6946
Point (-96.10736405912960834 45.49432517916854124)	1756	-0.10032	0.02583	4.25211	1.5304
Point (-79.04023836374190637 39.84332087209484285)	1731	-0.04812	0.0284	-0.46124	11.036
Point (-112.19277594203258275 40.9806589098346592)	1730	-0.05212	0.03321	0.70434	-3.8546
Point (-114.23723847726007818 36.24071005109111354)	1729	-0.0643	0.03702	-1.66882	2.9816
Point (-82.44376624273883181 28.74357216438439977)	1728	0.00225	0.01955	8.28646	19.1194
Point (-94.8234700122164611 34.83370147951912088)	1735	-0.02606	0.00757	5.07578	0.08661
Point (-93.01540716273795795 41.62516915870427425)	1734	-0.04542	0.02114	1.79566	23.98619
Point (-111.08006901845993752 46.40792117588900112)	1733	-0.00467	0.04472	-1.60962	12.5702
Point (-100.96680853618993012 36.34717104427615908)	1732	0.00106	0.01857	2.36551	-2.4002
Point (-96.83944977427047718 37.88519559771968659)	1739	-0.06882	0.00923	3.29342	-8.206
Point (-112.81545905123358864 46.47775741200767641)	1738	-0.04112	0.02301	-0.32167	4.1976
Point (-71.823905268618077 44.95634734524050202)	1737	0.00318	0.02314	3.21236	21.443
Point (-112.31613044868804252 43.23392082752361887)	1736	0.00876	0.03491	0.58143	6.4598
Point (-83.18519831641299334 37.78767420526527587)	1743	-0.06109	0.02641	3.29583	8.09239
Point (-100.2736785091606464 38.70332750915321185)	1742	-0.02424	0.0157	2.29186	8.24221
Point (-109.1832632545226005 43.91103379689515407)	1741	-0.00111	0.03587	-0.11856	5.5836
Point (-89.24502509170446274 43.19891655699833422)	1740	-0.07416	0.03073	4.0469	3.5058
Point (-92.66148601891791259 35.36341929915660387)	1587	-0.0203	0.01494	0.81612	47.28999
