wkt_geom	fid	id	T_78to14	P_78to14
Point (-94.20466540000005295 37.81558099999999456)	489	488	0.01795	297.85101
Point (-94.16299870000005967 37.94058109999999573)	418	417	0.01797	318.62689
Point (-94.32966550000003281 37.69058089999999339)	558	557	0.01802	277.86664
Point (-94.49633230000000594 38.14891459999999768)	290	289	0.01812	201.72919
Point (-94.16299870000005967 38.02391449999999651)	370	369	0.01812	308.68823
Point (-94.53799899999999923 38.23224799999999846)	241	240	0.01812	186.07361
Point (-94.24633210000004624 37.73224759999999378)	536	535	0.01819	291.21924
Point (-94.16299870000005967 37.89891439999999534)	442	441	0.0182	308.89331
Point (-94.16299870000005967 37.98224779999999612)	394	393	0.01821	312.10498
Point (-94.24633210000004624 38.10724789999999729)	320	319	0.01823	267.98767
Point (-93.99633190000008653 38.0655811999999969)	350	349	0.01824	314.59338
Point (-94.20466540000005295 37.73224759999999378)	537	536	0.01832	291.82245
Point (-93.95466520000009325 38.14891459999999768)	303	302	0.01835	276.45386
Point (-94.37133220000002609 38.10724789999999729)	317	316	0.01836	234.776
Point (-94.28799880000003952 38.10724789999999729)	319	318	0.01838	256.85999
Point (-94.20466540000005295 38.19058129999999807)	273	272	0.0184	235.70068
Point (-94.28799880000003952 37.69058089999999339)	559	558	0.01841	284.08862
Point (-94.12133200000006639 37.60724749999999261)	611	610	0.01847	312.47943
Point (-94.16299870000005967 37.77391429999999417)	514	513	0.01852	305.4278
Point (-94.16299870000005967 37.85724769999999495)	466	465	0.01861	302.95563
Point (-94.12133200000006639 37.94058109999999573)	419	418	0.01863	337.61737
Point (-94.12133200000006639 38.02391449999999651)	371	370	0.01863	320.86035
Point (-93.95466520000009325 37.648914199999993)	591	590	0.01865	279.65961
Point (-94.20466540000005295 38.14891459999999768)	297	296	0.01866	260.88739
Point (-94.16299870000005967 37.81558099999999456)	490	489	0.01871	310.65308
Point (-93.99633190000008653 38.02391449999999651)	374	373	0.01877	324.20483
Point (-94.32966550000003281 38.10724789999999729)	318	317	0.01879	247.03143
Point (-93.95466520000009325 38.0655811999999969)	351	350	0.01886	311.76245
Point (-94.20466540000005295 37.69058089999999339)	561	560	0.01887	297.46661
Point (-94.24633210000004624 37.69058089999999339)	560	559	0.01887	290.75861
Point (-94.12133200000006639 37.89891439999999534)	443	442	0.01887	331.20691
Point (-93.99633190000008653 37.648914199999993)	590	589	0.01888	291.75482
Point (-94.03799860000007982 38.02391449999999651)	373	372	0.01888	326.88318
Point (-94.16299870000005967 37.73224759999999378)	538	537	0.01889	298.83905
Point (-94.0796653000000731 37.648914199999993)	588	587	0.01894	310.95282
Point (-93.91299850000009997 37.648914199999993)	592	591	0.01896	265.19366
Point (-94.12133200000006639 37.98224779999999612)	395	394	0.019	326.98389
Point (-94.20466540000005295 38.23224799999999846)	249	248	0.019	222.53558
Point (-94.0796653000000731 38.02391449999999651)	372	371	0.01902	325.77533
Point (-94.53799899999999923 38.27391469999999885)	217	216	0.01902	176.61627
Point (-93.95466520000009325 38.02391449999999651)	375	374	0.01918	318.73163
Point (-94.0796653000000731 37.89891439999999534)	444	443	0.0192	351.24786
Point (-94.0796653000000731 37.94058109999999573)	420	419	0.01921	344.61432
Point (-94.16299870000005967 37.69058089999999339)	562	561	0.01924	307.06818
Point (-94.16299870000005967 38.31558139999999923)	202	201	0.01925	217.53363
Point (-93.99633190000008653 37.89891439999999534)	446	445	0.01926	364.95905
Point (-94.12133200000006639 37.648914199999993)	587	586	0.01928	316.927
Point (-94.03799860000007982 37.648914199999993)	589	588	0.01931	299.5069
Point (-93.99633190000008653 37.98224779999999612)	398	397	0.01931	328.43585
Point (-93.95466520000009325 38.10724789999999729)	327	326	0.01934	291.90381
Point (-94.12133200000006639 37.81558099999999456)	491	490	0.01939	331.83362
Point (-94.12133200000006639 37.85724769999999495)	467	466	0.01939	325.91522
Point (-94.03799860000007982 37.89891439999999534)	445	444	0.01941	364.19421
Point (-94.0796653000000731 38.35724809999999962)	180	179	0.01948	198.98328
Point (-94.53799899999999923 38.31558139999999923)	193	192	0.01948	178.50403
Point (-94.53799899999999923 38.35724809999999962)	169	168	0.01949	168.13666
Point (-94.12133200000006639 37.77391429999999417)	515	514	0.0195	328.29047
Point (-93.95466520000009325 37.98224779999999612)	399	398	0.01954	323.65234
Point (-94.12133200000006639 37.73224759999999378)	539	538	0.01956	318.72882
Point (-94.12133200000006639 37.69058089999999339)	563	562	0.01957	318.99554
Point (-94.16299870000005967 37.648914199999993)	586	585	0.01957	313.46722
Point (-93.99633190000008653 37.94058109999999573)	422	421	0.01958	345.1322
Point (-94.03799860000007982 37.98224779999999612)	397	396	0.01958	324.42041
Point (-94.03799860000007982 37.94058109999999573)	421	420	0.01961	340.97705
Point (-94.0796653000000731 37.98224779999999612)	396	395	0.01961	329.28302
Point (-94.49633230000000594 38.19058129999999807)	266	265	0.01961	192.58405
Point (-94.16299870000005967 37.60724749999999261)	610	609	0.01963	316.12524
Point (-93.91299850000009997 38.0655811999999969)	352	351	0.01965	312.59784
Point (-94.0796653000000731 37.69058089999999339)	564	563	0.01966	328.63464
Point (-93.95466520000009325 37.89891439999999534)	447	446	0.0197	355.53027
Point (-94.45466560000001266 38.14891459999999768)	291	290	0.0197	199.07947
Point (-93.91299850000009997 37.89891439999999534)	448	447	0.01973	352.6322
Point (-93.91299850000009997 37.98224779999999612)	400	399	0.01977	308.79852
Point (-94.12133200000006639 38.35724809999999962)	179	178	0.01978	207.72528
Point (-94.20466540000005295 37.648914199999993)	585	584	0.0198	309.13849
