wkt_geom	fid	id	T_78to14	P_78to14
Point (-75.02999955000007049 40.38333293000004431)	876	875	0.02177	-39.30615
Point (-75.07166622000006839 40.34166626000004641)	915	914	0.02181	-32.67261
Point (-75.61333293000004119 40.21666625000005268)	1022	1021	0.02182	-70.60864
Point (-75.94666629000002445 39.79999955000007361)	1414	1413	0.02182	33.88538
Point (-76.36333299000000352 40.09166624000005896)	1124	1123	0.02182	19.13257
Point (-76.32166632000000561 40.13333291000005687)	1085	1084	0.02195	37.27014
Point (-75.77999961000003282 39.7166662100000778)	1498	1497	0.02197	83.5885
Point (-75.02999955000007049 40.2999995900000485)	956	955	0.02201	-18.49365
Point (-75.57166626000004328 40.04999957000006106)	1183	1182	0.02204	-32.99731
Point (-76.2799996500000077 40.09166624000005896)	1126	1125	0.02206	46.61719
Point (-75.07166622000006839 40.25833292000005059)	995	994	0.02207	-19.4707
Point (-74.98833288000007258 40.25833292000005059)	997	996	0.02212	-37.43677
Point (-75.82166628000003072 39.84166622000007152)	1377	1376	0.02213	-3.66577
Point (-75.1133328900000663 40.34166626000004641)	914	913	0.02214	-22.48865
Point (-75.07166622000006839 40.2999995900000485)	955	954	0.02217	-13.81836
Point (-75.15499956000006421 40.34166626000004641)	913	912	0.02218	-36.24561
Point (-75.61333293000004119 40.42499960000004222)	822	821	0.02218	-52.40161
Point (-75.61333293000004119 40.13333291000005687)	1102	1101	0.02219	-45.22021
Point (-75.07166622000006839 40.17499958000005478)	1075	1074	0.02226	-69.72778
Point (-75.44666625000004956 40.17499958000005478)	1066	1065	0.0223	-13.75574
Point (-75.32166624000005584 40.21666625000005268)	1029	1028	0.02232	-11.43237
Point (-75.02999955000007049 40.25833292000005059)	996	995	0.02233	-32.51355
Point (-75.02999955000007049 39.7583328800000757)	1476	1475	0.02234	-2.25317
Point (-74.98833288000007258 40.2999995900000485)	957	956	0.02239	-22.29761
Point (-75.1133328900000663 40.46666627000004013)	794	793	0.02242	-49.86182
Point (-75.07166622000006839 39.7583328800000757)	1475	1474	0.02245	9.85803
Point (-75.07166622000006839 40.42499960000004222)	835	834	0.02249	-36.4884
Point (-75.82166628000003072 39.7583328800000757)	1457	1456	0.0225	49.1355
Point (-75.1133328900000663 39.92499956000006733)	1314	1313	0.0225	3.48975
Point (-75.1133328900000663 40.2999995900000485)	954	953	0.02253	-6.93298
Point (-75.1133328900000663 40.00833290000006315)	1234	1233	0.02255	-27.17102
Point (-75.1133328900000663 40.25833292000005059)	994	993	0.02259	-21.58337
Point (-76.2383329800000098 40.04999957000006106)	1167	1166	0.02264	47.35657
Point (-75.07166622000006839 40.21666625000005268)	1035	1034	0.02264	-53.66772
Point (-75.44666625000004956 39.88333289000006943)	1346	1345	0.02265	4.38525
Point (-75.82166628000003072 39.88333289000006943)	1337	1336	0.02266	-32.47119
Point (-75.27999957000005793 40.21666625000005268)	1030	1029	0.02266	-28.41077
Point (-75.86333295000002863 39.79999955000007361)	1416	1415	0.02267	20.44421
Point (-75.90499962000002654 39.79999955000007361)	1415	1414	0.02269	20.62341
Point (-75.02999955000007049 40.21666625000005268)	1036	1035	0.02274	-60.87805
Point (-75.65499960000003909 40.38333293000004431)	861	860	0.02276	-55.00378
Point (-75.61333293000004119 40.17499958000005478)	1062	1061	0.02278	-69.87598
Point (-75.19666623000006211 40.25833292000005059)	992	991	0.02283	-44.95093
Point (-74.94666621000007467 40.25833292000005059)	998	997	0.02283	-36.42261
Point (-75.44666625000004956 40.50833294000003804)	746	745	0.02288	1.62085
Point (-75.98833296000002235 39.84166622000007152)	1373	1372	0.02288	29.90234
Point (-74.98833288000007258 39.7583328800000757)	1477	1476	0.02289	-16.48425
Point (-75.1133328900000663 40.17499958000005478)	1074	1073	0.02289	-75.27747
Point (-75.65499960000003909 40.25833292000005059)	981	980	0.02295	-52.88354
Point (-75.1133328900000663 40.21666625000005268)	1034	1033	0.02295	-54.70886
Point (-75.82166628000003072 39.79999955000007361)	1417	1416	0.02299	28.3468
Point (-75.1133328900000663 39.88333289000006943)	1354	1353	0.02299	7.35632
Point (-75.65499960000003909 39.96666623000006524)	1261	1260	0.023	-47.35425
Point (-75.15499956000006421 40.2999995900000485)	953	952	0.02303	-29.32153
Point (-74.98833288000007258 40.04999957000006106)	1197	1196	0.02305	-61.38416
Point (-75.52999959000004537 40.04999957000006106)	1184	1183	0.02309	-36.20593
Point (-75.48833292000004747 40.13333291000005687)	1105	1104	0.02309	-35.06323
Point (-76.19666631000001189 39.88333289000006943)	1328	1327	0.02314	48.45642
Point (-76.36333299000000352 40.00833290000006315)	1204	1203	0.02315	45.41638
Point (-76.15499964000001398 39.88333289000006943)	1329	1328	0.02317	33.49146
Point (-75.77999961000003282 39.84166622000007152)	1378	1377	0.02317	-0.53784
Point (-75.86333295000002863 39.84166622000007152)	1376	1375	0.02317	-10.14197
Point (-75.15499956000006421 40.25833292000005059)	993	992	0.02324	-34.71362
Point (-74.94666621000007467 40.2999995900000485)	958	957	0.02325	-30.48157
Point (-75.65499960000003909 40.21666625000005268)	1021	1020	0.02336	-70.76477
Point (-75.57166626000004328 40.46666627000004013)	783	782	0.02336	-27.052
Point (-76.2799996500000077 40.13333291000005687)	1086	1085	0.02337	48.82397
Point (-76.2383329800000098 39.88333289000006943)	1327	1326	0.02343	54.38171
Point (-75.77999961000003282 39.7583328800000757)	1458	1457	0.02353	59.25305
Point (-76.11333297000001608 39.88333289000006943)	1330	1329	0.02355	20.27356
Point (-75.48833292000004747 39.84166622000007152)	1385	1384	0.02355	5.22864
Point (-75.61333293000004119 40.04999957000006106)	1182	1181	0.02355	-32.31958
Point (-75.65499960000003909 40.00833290000006315)	1221	1220	0.02364	-39.89893
Point (-75.73833294000003491 39.7166662100000778)	1499	1498	0.02367	90.56689
Point (-75.696666270000037 39.96666623000006524)	1260	1259	0.02375	-29.27283
Point (-76.2383329800000098 40.00833290000006315)	1207	1206	0.02378	52.70703
Point (-75.15499956000006421 40.09166624000005896)	1153	1152	0.0238	-52.78967
Point (-75.23833290000006002 40.21666625000005268)	1031	1030	0.02383	-38.28381
Point (-75.48833292000004747 40.09166624000005896)	1145	1144	0.02384	-35.68445
Point (-75.40499958000005165 39.88333289000006943)	1347	1346	0.02387	24.16821
Point (-76.36333299000000352 40.13333291000005687)	1084	1083	0.02388	12.31262
Point (-75.36333291000005374 39.79999955000007361)	1428	1427	0.02401	94.28027
Point (-75.696666270000037 40.2999995900000485)	940	939	0.02404	-48.7229
Point (-75.94666629000002445 39.84166622000007152)	1374	1373	0.02409	15.51221
Point (-76.40499966000000143 40.04999957000006106)	1163	1162	0.02409	37.16602
Point (-75.61333293000004119 39.96666623000006524)	1262	1261	0.02409	-16.51672
Point (-75.15499956000006421 40.13333291000005687)	1113	1112	0.02412	-67.59802
Point (-75.1133328900000663 40.04999957000006106)	1194	1193	0.02413	-39.56079
Point (-75.77999961000003282 39.79999955000007361)	1418	1417	0.02415	36.46899
Point (-75.15499956000006421 40.04999957000006106)	1193	1192	0.02416	-37.30933
Point (-75.65499960000003909 40.17499958000005478)	1061	1060	0.02419	-65.6084
Point (-75.77999961000003282 39.88333289000006943)	1338	1337	0.0242	-20.11877
Point (-75.19666623000006211 40.09166624000005896)	1152	1151	0.02422	-45.72632
Point (-75.1133328900000663 39.7583328800000757)	1474	1473	0.02425	18.0824
Point (-75.61333293000004119 40.00833290000006315)	1222	1221	0.02426	-29.39697
Point (-75.48833292000004747 40.50833294000003804)	745	744	0.02428	-0.97705
Point (-76.2799996500000077 39.88333289000006943)	1326	1325	0.02428	64.40015
Point (-76.40499966000000143 40.09166624000005896)	1123	1122	0.0243	7.8374
Point (-75.48833292000004747 39.88333289000006943)	1345	1344	0.02431	-5.56335
Point (-75.61333293000004119 40.46666627000004013)	782	781	0.02435	-41.86877
