Checked	Common_name	Code	Date_received	Location.x	Region	Ocean	Cause_of_death	What	Info_sent	Extracted	Info_requested	Other_info	Archiving_info	scrubbed_uoa_code	reconciled_alternate_code	UoA_Code	Species_subspecies	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB	reconciliation_notes	pathology_code	hologenome_region	collection_date_mod	broad_location	review
NA	Hector's dolphin	CheBP64	NA	100m Sth of Brighton Surf Club, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes1 toothalternate code = VT168	NA	CHEBP64	NA	CheBP64	Cephalorhynchus hectori hectori	NA	NA	beachcast	Al Hutt/Jim Lilley	Akaroa/Canterbury	0.88	NA	Male	NA	H33/00	NA	HD33	NA	NA	NA	NA	M	C	13	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;NZCETA had 'Mar-00' as Date_stranded;Likely duplicate of 'CHESIFP_CETOS96103' based on identical Location.x and identical collection_date_mod. This (CHEBP64) should be considered 'sample of reference' as more information available	H033	SI East Coast	27-Mar-2000	Pegasus Bay	Duplicate (primary sample)
NA	Hector's dolphin	CheSI01	NA	NZMS260 L28 24141 5921 Buller	West Coast	Tasman	NA	NA	NA	Yes	NA	Head only, mutilated carcass	NA	CHESI01	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;CHEWC130 is likely a duplicate of this sample based on similar Location.x and matching collection_date_mod. This (CHESI01) should be considered the 'sample of reference' as it had more information in the DOC_Massey database	NA	SI West Coast	6-Jun-2001	Buller	Duplicate (primary sample)
NA	Hector's dolphin	CheSI27	NA	Kaitinu Beach (NZMS260 J32 23467 58348) (Hokitika)	West Coast	Tasman	NA	NA	NA	No	NA	TL 0.88m, Net marks	NA	CHESI27	NA	CheSI27	Cephalorhynchus hectori hectori	NA	NA	beachcast	Don Neale	Hokitika	1.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	V	14	yes	yes	CHEWC009 is a duplicate of this sample based on similar Location.x and matching collection_date_mod. This (CHESI27) should be considered the 'sample of reference' as it had more information in the DOC_Massey database	NA	SI West Coast	22-Aug-1994	Hokitika	Duplicate (primary sample)
Yes	Hector's dolphin	CheSI28 (H38/01)	NA	Timaru, Rangitata River Mouth	Canterbury	Pacific	NA	NA	NA	No	NA	Skeleton only	NA	CHESI28	NA	CheSI28	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Unknown	NA	H38/01	NA	NA	NA	NA	NA	NA	M	Cb	14	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;collection_date_mod taken from NZCETA because Collection_Date not given for DOC_Massey;NZCETA had Rangitata as Location, DOC_Massey had Greymouth, North Beach. Given Region recorded as Canterbury, have gone with Rangitata;CHESI52 is a duplicate of this sample based on matching collection_date_mod, Genetic_sex, and mtDNA_haplotype. This (CHESI28) should be considered the 'sample of reference' as it had more information in the DOC_Massey database	H038	SI East Coast	23-Jan-2001	Timaru	Duplicate (primary sample)
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHESI30	NA	CheSI30	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Jb	14	yes	yes	Subspecies designation based on location;CHESI29 is a duplicate of this sample based on matching collection_date_mod, Genetic_sex, and mtDNA_haplotype. This (CHESI30) should be considered the 'sample of reference' based on a coin toss (both samples have the same amount of information available)	NA	NA	25-Feb-2001	NA	Duplicate (primary sample)
Yes	Hector's dolphin	CheSI56 (H39/01)	NA	10.6km west of Farewell Spit Lighthouse	Nelson	Tasman	NA	NA	NA	No	NA	TL 1.34m	NA	CHESI56	NA	CheSI56	Cephalorhynchus hectori hectori	NA	NA	beachcast	Hans Stoffregen	Golden Bay	1.33	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	F	T	14	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;CHE01NZ01 is a duplicate of this sample based on matching pathology_codes. This (CHESI56) should be considered the 'sample of reference' as it had more information in the DOC_Massey database.	H039	Farewell Spit	10-Nov-2002	Farewell Spit	Duplicate (primary sample)
NA	Hector's dolphin	CheTi12	NA	Caroline Bay Beach, Timaru NZMS 260 J39-K39 706449	Canterbury	Pacific	NA	NA	NA	NA	NA	from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 1.23malternate code = H28/99	No H code. Eneterd to the database by Sahar. Massey code: None	CHETI12	NA	CheTI12	Cephalorhynchus hectori hectori	NA	NA	beachcast	Al Hutt/Steve Harraway	Akaroa/Raukapuka	1.23	NA	Male	NA	H28/99	NA	NA	NA	NA	NA	NA	M	C	13	yes	yes	Other_info taken from CheSIFP with matching H-code;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;CHESIFP_CETOS8841 is a duplicate of this sample based on similar Location.x and matching collection_date_mod. This (CHETI12) should be considered the 'sample of reference' as it had more information in the DOC_Massey database	H028	SI East Coast	22-Dec-1999	Timaru	Duplicate (primary sample)
NA	Hector's dolphin	CheTi13	NA	Opihi River mouth north of Timaru	Canterbury	Pacific	NA	NA	NA	NA	NA	from cards on Kirsty's desk, Franz's notesbeachcast with net marksTL = 0.920malternate code = H32/00	No H code. Eneterd to the database by Sahar. Massey code: None	CHETI13	NA	CheTI13	Cephalorhynchus hectori hectori	NA	NA	beachcast	Al Hutt/Jim Lilley	Akaroa/Canterbury	0.92	NA	Male	NA	H32/00	NA	NA	NA	NA	NA	NA	M	C	13	yes	yes	Other_info taken from CheSIFP with matching H-code;Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;Likely duplicate of 'CHESIFP_CETOS9699' based on identical Location.x and identical collection_date_mod. This sample (CHETI13) should be considered 'sample of reference' as it has more information available	H032	SI East Coast	19-Mar-2000	Timaru	Duplicate (primary sample)
Yes	Hector's dolphin	CheWC02-06 (H60/02)	NA	Nikan Beach 35km Sth Westport	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgenetically sexed male	NA	CHEWC02-06	NA	CheWC02-06	Cephalorhynchus hectori hectori	NA	NA	beachcast	Martin Abel	Buller	1.34	NA	Female	NA	H60/02	NA	NA	WB03-05Chh	NA	NA	34363	F	Ia	12	yes	yes	NZCETA had a Date_stranded of '25/11/1992', but based on H-codes etc, this is incorrect;Likely duplicate of 'CHESIXX' based on identical Location.x and identical collection_date_mod This (CHEWC02-06) should be considered the 'sample of reference', because more information available for it	H060	SI West Coast	25-Nov-2002	Westport	Duplicate (primary sample)
Yes	Uncertain	Che01NZ01 (H39/01)	NA	NA	NA	NA	NA	NA	NA	NA	NA	info sheets sent to Scott via email?sample found in Kirsty's fridge Aug 06	Three samples, two disposed. Massey code: WB04-27 Chh	CHE01NZ01	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies;This sample is a duplicate of CHESI56 based on matching pathology_codes. Only use if additional/duplicate tissue necessary	H039	NA	NA	NA	Duplicate (secondary sample)
Yes	Hector's dolphin	Che04NZ01(H86/04)	unsure	Orepuki Southland 5423500 2004600, Te Waewae Bay	Southland	NA	NA	NA	NA	Yes	NA	TL = 1.43m1 of 4 dolphins caught in a net	Two samples, one disposed. Massey code: WS05-36Chh	CHE04NZ01	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;This sample is a duplicate of CHE04NZ13 based on matching pathology_codes. Only use if additional/duplicate tissue necessary	H086	SI South Coast	14-Nov-2004	Te Waewae	Duplicate (secondary sample)
Yes	Hector's dolphin	Che05NZ08 (H106/05)	Dec-05	Fossil Point base of Farewell Spit M24 777 87200	Nelson	Tasman	NA	NA	Yes	Yes	Yes	TL = 130.5 cmGPS reference 2434954 6017040	Three samples, two disposed. Massey code: WS06-16Ch	CHE05NZ08	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;This sample is a duplicate of CHE05NZ18. Only use if additional/duplicate tissue necessary	H106	Farewell Spit	23-Nov-2005	Farewell Spit	Duplicate (secondary sample)
Yes	Uncertain	Che09NZ17 (H192/09)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Added to the database by Sahar. Massey code: None	CHE09NZ17	NA	NA	Cephalorhynchus hectori ?	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not enough information to determine subspecies;This sample is a duplicate of CHE09NZ03 based on matching pathology_codes. Only use if additional/duplicate tissue necessary	H192	NA	18-Dec-2009	NA	Duplicate (secondary sample)
Yes	Hector's dolphin	Che10NZ10 (H200/10; U10-185)	NA	Serpentine Creek mouth, 20km north Hokitika (1/2 way between HK & GM)	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes.damaged from nets	NA	CHE10NZ10	NA	Che10NZ10 (also Che10NZ04)	Cephalorhynchus hectori hectori	NA	NA	Beachcast	Don Neale	Hokitika	NA	juvenile	Female	NA	H200/10	NA	NA	NA	NA	NA	NA	F	Ib	24	no	no	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;This sample is a duplicate of CHE10NZ04. Only use if additional/duplicate tissue necessary.Information for the following columns taken from CHE10NZ04: Collected_By, DoC_Agency, Age_Class	H200	SI West Coast	13-Oct-2010	Hokitika	Duplicate (secondary sample)
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHESI29	NA	CheSI29	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Jb	14	yes	yes	Subspecies designation based on location;This sample is a duplicate of CHESI30 based on matching collection_date_mod, Genetic_sex, and mtDNA_haplotype. Only use if additional/duplicate tissue necessary	NA	NA	25-Feb-2001	NA	Duplicate (secondary sample)
NA	Hector's dolphin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CHESI52	NA	CheSI52	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M	Cb	14	yes	yes	Subspecies designation based on location;This sample is a duplicate of CHESI28 based on matching collection_date_mod, Genetic_sex, and mtDNA_haplotype. Only use if additional/duplicate tissue necessary	NA	NA	23-Jan-2001	NA	Duplicate (secondary sample)
NA	Hector's dolphin	CheSIFP	NA	Timaru NZMS 260 J39-K39 706449	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgillnettedfrozen tissuealternate code = CETOS 8841	NA	CHESIFP_CETOS8841	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;This sample is a duplicate of CHETI12 based on similar Location.x and matching collection_date_mod. Only use if additional/duplicate tissue necessary	NA	SI East Coast	22-Dec-1999	Timaru	Duplicate (secondary sample)
NA	Hector's dolphin	CheSIFP	NA	1.3km north of Waimairi Surf club, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesgillnettedfrozen tissuealternate code = CETOS 8846	NA	CHESIFP_CETOS8846	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Likely duplicate of 'CHEBP63' based on identical Location.x and consistent collection_date_mod. Only use if additional/duplicate tissue needed	NA	SI East Coast	22-Jan-2000	Pegasus Bay	Duplicate (secondary sample)
NA	Hector's dolphin	CheSIFP	NA	100m Sth of Brighton Surf Club, Pegasus Bay	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesdecomposedalternate code = CETOS 96103	NA	CHESIFP_CETOS96103	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Likely duplicate of 'CHEBP64' based on identical Location.x and identical collection_date_mod. Only use if additional/duplicate tissue needed	NA	SI East Coast	27-Mar-2000	Pegasus Bay	Duplicate (secondary sample)
NA	Hector's dolphin	CheSIFP	NA	PC Bay Akaroa	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesnet marks, beachcastalternate code = CETOS 9698	NA	CHESIFP_CETOS9698	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;This sample is a duplicate of CHEBP62 based on similar Location.x and matching collection_date_mod. Only use if additional/duplicate tissue necessary	NA	SI East Coast	11-Mar-2000	Akaroa	Duplicate (secondary sample)
NA	Hector's dolphin	CheSIFP	NA	Opihi River mouth north of Timaru	Canterbury	Pacific	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notespossible live strandingalternate code = CETOS 9699	NA	CHESIFP_CETOS9699	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Likely duplicate of 'CHETI13' based on identical Location.x and identical collection_date_mod. This sample should only be used if additional/duplicate tissue needed, as other sample has more information.	NA	SI East Coast	19-Mar-2000	Timaru	Duplicate (secondary sample)
NA	Hector's dolphin	CheSIxx	NA	Nikan Beach 35km Sth Westport	West Coast	Tasman	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesbeachcast very decomposedalternate code = CETOS 9695	NA	CHESIXX	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Likely duplicate of 'CHEWC02-06' based on identical Location.x and identical collection_date_mod. Only use if additional/duplicate tissue needed	NA	SI West Coast	25-Nov-2002	Westport	Duplicate (secondary sample)
NA	Hector's dolphin	CheWC09	NA	Kaitinu Beach, Hokitika	West Coast	Tasman	NA	NA	NA	NA	NA	NA	No data available. No H code. WC002 is mentioned on the tube but omitted. Eneterd to the database by Sahar. Two samples (one in Becca's box), one (Becca's) diaposed after adding two pieces of the Becca's box sample to  the original tube. Massey code: None	CHEWC009	NA	CheWC009	Cephalorhynchus hectori hectori	NA	NA	beachcast	DoC via Liz Slooten	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	M	V	16	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;This sample is a duplicate of CHESI27 based on similar Location.x and matching collection_date_mod. Only use if additional/duplicate tissue necessary	NA	SI West Coast	22-Aug-1994	Hokitika	Duplicate (secondary sample)
Yes	Hector's dolphin	CheWC03-01	NA	Buller	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesalternate code = CETOS 9588	NA	CHEWC03-01	NA	CheWC03-01	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	F	Jb	14	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;This sample is either a duplicate of CHE03NZ05, or its mother, based on matching Location.x and collection_date_mod. Only use if additional/duplicate tissue necessary	NA	SI West Coast	10-Oct-2003	Buller	Duplicate (secondary sample)
Yes	Hector's dolphin	CheWC03-02	NA	Hokitika	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notesSkeletal remains	NA	CHEWC03-02	NA	CheWC03-02	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	F	Jb	14	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;Likely duplicate of 'CHE03NZ06' based on sampling location and identical collection_date_mod. Only use if additional/duplicate tissue required, as CHE03NZ06 has more information available	NA	SI West Coast	24-Oct-2003	Hokitika	Duplicate (secondary sample)
Yes	Hector's dolphin	CheWC03-03	NA	Sth Westland (Haast Beach)	NA	NA	NA	NA	NA	No	NA	from cards on Kirsty's desk, Franz's notes	NA	CHEWC03-03	NA	CheWC03-03	Cephalorhynchus hectori hectori	NA	NA	beachcast	NA	NA	NA	NA	Male	NA	NA	NA	NA	NA	NA	NA	NA	M	Ca	13	yes	yes	Although DOC_Massey had some information for this sample, it did not have info for 'Observed_Sex'. This was taken from NZCETA's Sex field instead;Potential duplicate of 'CHE03NZ07' based on sampling location and identical collection_date_mod. Use only if additional/duplicate tissue needed	NA	SI West Coast	13-Nov-2003	Haast/Jackson Bay	Duplicate (secondary sample)
Yes	Hector's dolphin	CheWC130	NA	Buller	NA	NA	NA	NA	NA	No	NA	TL=88.5cmPhotos: yesTwo samples dated 12/1/2015 but not indicated which one belongs to U15-005 and U15-006	NA	CHEWC130	NA	NA	Cephalorhynchus hectori hectori	NA	NA	NA	NA	NA	NA	NA	Female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;This sample is likely a duplicate of CHESI01 based on similar Location.x and matching collection_date_mod. Only use if additional/duplicate tissue necessary	NA	SI West Coast	6-Jun-2001	Buller	Duplicate (secondary sample)
No	Maui dolphin	U12-006	NA	Opunake, Taranaki	Taranaki	Tasman	NA	NA	NA	No	NA	subadult, TL 197cm. Found floating listlessly. No apparent injury. Euthanized on humane grounds	NA	U12-006	NA	NA	Cephalorhynchus hectori maui	NA	NA	NA	NA	NA	NA	NA	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Subspecies designation based on location;Likely duplicate of 'CHE12NZ02' based on identical Location.x and identical collection_date_mod. Only use of additional/duplicate tissue needed	NA	Maui	25-Apr-2012	Taranaki	Duplicate (secondary sample)
