UoA_Code	Species_subspecies	Common_Name	Collection_Date	Location	LatitudeS_Northing	LongitudeE_Easting	Tissue_Type	Collected_By	DoC_Agency	TL_m	Age_Class	Sex_observed	Pregnant?	Doc_incident_no	Doc_animal_no	Franz_source_code	Massey_Code	MONZ_code	CETOS_code	Necropsy_file_no_Pathology_no	Genetic_Sex	mtDNA_haplotype	no_microsatellites	MHC_DQA	MHC_DQB
CheNI024	Cephalorhynchus hectori maui	Maui dolphin	20-Oct-98	Whatipu			beachcast				adult	female				714/1				29718	F	G	5	no	no
CheNI030	Cephalorhynchus hectori maui	Maui dolphin	5-Mar-00	"Albatross Bay, Kawhia (Te Maka), Waikato"	-38.0646	174.8248	beachcast	Garry Hickman	Waikato (South Auckland)		adult	female	not pregnant	N/A	294		WB00-09Ch 			31122	F	G	10	no	yes
CheNI057	Cephalorhynchus hectori maui	Maui dolphin	5-Mar-01	"Karioitahi Beach, South Auckland"	-37.2823	174.6531	beachcast (prob. Entanglement)		Auckland (South Auckland)		adult	unknown		N/A	317		WB01-06Ch 			32074	F	G	28	yes	yes
CheNI058	Cephalorhynchus hectori maui	Maui dolphin	27-May-01	"Karioitahi Beach, South Auckland"	-37.2823	174.6531	beachcast (prob. Entanglement)		Auckland (South Auckland)		subadult	unknown		N/A	320		WB01-27Chm 			32339	M	G	6	no	no
CheNI059	Cephalorhynchus hectori maui	Maui dolphin	22-Jul-01	"Port Waikato, South Auckland"	-37.3889	174.7262	beachcast (prob. Entanglement)	Eamown Ganley	Auckland (South Auckland)	1.33	juvenile	male		N/A	323		WB01-41Ch 			32441	M	G	30	yes	yes
CheNI060	Cephalorhynchus hectori maui	Maui dolphin	3-Feb-02	"Manukau Bar, 6 miles off Manukau Harbour Entrance on 61-65 metre mark (Manukau Heads -at sea)"	-37.0835	174.4284	beachcast (floating)	Karl McLeod/Simon Mowbray	Auckland		adult	male		H45/02	334		WB02-12Chm			32972	M	G	26	no	no
CheNI061	Cephalorhynchus hectori maui	Maui dolphin	21-Feb-02	"35 metre mark, NW Wattle Bay, Manukau Harbour (floating)"	-37.0443	174.5772	"beachcast, entangled (set net)"	Simon Mowbray	Auckland		adult	male		H46/02 or H47/02	336		WB02-15Chm			33111	M	G	27	no	no
CheNI062	Cephalorhynchus hectori maui	Maui dolphin	21-Feb-02	"North of Karioitahi Beach entrance, Waiuku, Manukau Harbour"	-37.2602	174.6414	"beachcast, entangled (set net)"	Simon Mowbray	Auckland		subadult	male		H48/02	337		WB02-16Chm			33112	M	G	28	yes	yes
CheNI092	Cephalorhynchus hectori maui	Maui dolphin	4-Jun-03	"O'Neils Beach, north of Bethell's Beach"	-36.8848	174.4376	beachcast	Karl McLeod	Auckland		subadult	male		H70/03	355		WB03-19Chm			34780	M	G	26	no	no
CheSI03	Cephalorhynchus hectori hectori	Hector's dolphin	31-Oct-01	"2km Nth of Buller rivermouth, Westport"			beachcast	Martin Abel	Buller	0.79		F		H41/01			WB02-02Chh			32848	F	Ca	14	yes	yes
