param,mean,median,1.000_CI_LB,1.000_CI_UB
zeta-quantile_param_330,0.900057,0.950154,0.488071,0.997331
zeta-quantile_param_331,0.853214,0.857801,0.618570,0.991123
zeta-quantile_param_332,0.877254,0.968291,0.229135,0.999321
zeta-quantile_param_333,0.979262,0.980896,0.889647,0.998428
zeta-quantile_param_334,0.770323,0.758418,0.562154,0.972551
zeta-quantile_param_335,0.679885,0.672701,0.537817,0.832348
zeta-quantile_param_336,0.920437,0.960628,0.581646,0.998573
zeta-quantile_param_337,0.926878,0.977370,0.599676,0.999815
zeta-quantile_param_338,0.984151,0.995071,0.713203,0.999951
zeta-quantile_param_339,0.859011,0.859372,0.488410,0.994781
zeta-quantile_param_340,0.930705,0.962525,0.624113,0.999991
zeta-quantile_param_341,0.564588,0.590060,0.243356,0.915410
zeta-quantile_param_342,0.280138,0.301765,0.063065,0.545342
zeta-quantile_param_343,0.032589,0.016060,0.000206,0.196618
zeta-quantile_param_344,0.048689,0.031499,0.000417,0.229008
zeta-quantile_param_345,0.081055,0.024860,0.000511,0.468320
zeta-quantile_param_346,0.688542,0.738821,0.208054,0.973343
zeta-quantile_param_347,0.456672,0.401554,0.157195,0.931148
zeta-quantile_param_348,0.799848,0.874122,0.375333,0.993669
zeta-quantile_param_349,0.016128,0.005333,0.000134,0.103235
zeta-quantile_param_350,0.012569,0.005822,0.000315,0.076732
zeta-quantile_param_351,0.061574,0.037934,0.000173,0.347560
zeta-quantile_param_352,0.066884,0.016856,0.000970,0.448987
zeta-quantile_param_353,0.143944,0.096511,0.000042,0.582023
zeta-quantile_param_354,0.590492,0.586581,0.387971,0.782774
zeta-quantile_param_355,0.089033,0.089327,0.009239,0.178481
zeta-quantile_param_356,0.570785,0.508684,0.344075,0.940651
zeta-quantile_param_357,0.586684,0.536091,0.064939,0.954911
zeta-quantile_param_358,0.116100,0.134348,0.000181,0.318638
zeta-quantile_param_359,0.331279,0.362517,0.002681,0.792111
zeta-quantile_param_360,0.569827,0.578888,0.137033,0.973440
zeta-quantile_param_361,0.380576,0.462619,0.013435,0.707006
zeta-quantile_param_362,0.264936,0.193237,0.046179,0.713670
zeta-quantile_param_363,0.238363,0.164088,0.004718,0.658306
zeta-quantile_param_364,0.453641,0.444227,0.058191,0.805036
zeta-quantile_param_365,0.613135,0.636208,0.292598,0.882651
zeta-quantile_param_366,0.073588,0.066303,0.006476,0.246333
zeta-quantile_param_367,0.114267,0.095108,0.005122,0.425195
zeta-quantile_param_368,0.149000,0.074363,0.016060,0.643695
zeta-quantile_param_369,0.443012,0.423523,0.129638,0.752725
zeta-quantile_param_370,0.732507,0.784685,0.276174,0.914118
zeta-quantile_param_371,0.243782,0.232970,0.050691,0.553009
zeta-quantile_param_372,0.560916,0.540312,0.378139,0.769820
zeta-quantile_param_373,0.927035,0.939013,0.779163,0.996871
zeta-quantile_param_374,0.597220,0.599469,0.301929,0.834876
zeta-quantile_param_375,0.797504,0.814985,0.521797,0.965426
zeta-quantile_param_376,0.497086,0.513912,0.180578,0.901667
zeta-quantile_param_377,0.239175,0.158001,0.000650,0.850732
zeta-quantile_param_378,0.327203,0.319039,0.018469,0.812343
zeta-quantile_param_379,0.736931,0.754854,0.388972,0.961870
zeta-quantile_param_380,0.597649,0.602826,0.216284,0.977955
zeta-quantile_param_381,0.459282,0.453891,0.184911,0.872578
zeta-quantile_param_382,0.501716,0.553061,0.060710,0.963729
